entry_datetime,exit_datetime,entry_type,asset,bias,entry_price,exit_price,sl,target_nq,target_es,exit_reason,pnl_points,risk_points,rr_achieved,breakeven_applied,div_born_at
2018-04-05 10:00:00-04:00,2018-04-05 14:00:00-04:00,asset,nq,bear,6621.0,6581.25,6651.75,6306.75,2552.0,TARGET,39.75,30.75,1.29,False,2018-04-05 10:00:00-04:00
2018-05-09 02:00:00-04:00,2018-05-09 10:00:00-04:00,base,nq,bear,6824.0,6848.75,6848.75,6538.0,2591.25,SL,-24.75,24.75,-1.0,False,2018-05-06 18:00:00-04:00
2018-07-16 10:00:00-04:00,2018-07-17 10:00:00-04:00,base,es,bear,2801.0,2807.5,2807.5,7204.5,2761.75,SL,-6.5,6.5,-1.0,False,2018-07-15 18:00:00-04:00
2018-08-24 02:00:00-04:00,2018-08-24 10:00:00-04:00,base,es,bear,2862.0,2868.25,2868.25,7316.5,2803.0,SL,-6.25,6.25,-1.0,False,2018-08-19 18:00:00-04:00
2018-09-07 10:00:00-04:00,2018-09-09 18:00:00-04:00,asset,nq,bull,7473.5,7473.5,7393.0,7697.0,2917.5,SL,0.0,80.5,0.0,True,2018-09-06 10:00:00-04:00
2019-04-18 10:00:00-04:00,2019-04-21 18:00:00-04:00,asset,nq,bear,7684.25,7684.25,7723.0,7561.25,2877.25,SL,0.0,38.75,0.0,True,2019-04-14 22:00:00-04:00
2019-05-03 10:00:00-04:00,2019-05-03 14:00:00-04:00,base,nq,bear,7806.5,7866.25,7866.25,7669.75,2899.0,SL,-59.75,59.75,-1.0,False,2019-04-28 18:00:00-04:00
2019-06-27 10:00:00-04:00,2019-06-30 18:00:00-04:00,asset,nq,bull,7692.25,7824.5,7650.75,7821.0,2969.25,TARGET,132.25,41.5,3.19,True,2019-06-25 14:00:00-04:00
2019-09-05 02:00:00-04:00,2019-09-05 06:00:00-04:00,asset,nq,bear,7813.0,7839.75,7839.75,7353.25,2810.25,SL,-26.75,26.75,-1.0,False,2019-09-04 18:00:00-04:00
2020-01-23 06:00:00-05:00,2020-01-23 14:00:00-05:00,base,nq,bear,9205.0,9244.5,9244.5,8979.0,3265.5,SL,-39.5,39.5,-1.0,False,2020-01-21 10:00:00-05:00
2020-02-13 06:00:00-05:00,2020-02-13 10:00:00-05:00,base,nq,bear,9541.0,9620.0,9620.0,8975.0,3222.0,SL,-79.0,79.0,-1.0,False,2020-02-10 10:00:00-05:00
2020-03-06 10:00:00-05:00,2020-03-08 18:00:00-04:00,asset,nq,bull,8417.75,8417.75,8310.5,9365.0,3312.0,SL,0.0,107.25,0.0,True,2020-03-06 02:00:00-05:00
2020-04-23 02:00:00-04:00,2020-04-23 18:00:00-04:00,base,nq,bull,8629.5,8509.5,8509.5,8966.75,2885.0,SL,-120.0,120.0,-1.0,False,2020-04-21 06:00:00-04:00
2020-07-23 10:00:00-04:00,2020-07-23 14:00:00-04:00,asset,es,bear,3269.25,3214.25,3282.0,10358.75,3119.0,EXIT_RR,55.0,12.75,4.31,False,2020-07-20 10:00:00-04:00
2020-08-11 02:00:00-04:00,2020-08-11 06:00:00-04:00,base,nq,bear,11122.5,10956.0,11146.75,10876.25,3254.75,EXIT_RR,166.5,24.25,6.87,False,2020-08-09 22:00:00-04:00
2020-08-11 10:00:00-04:00,2020-08-11 14:00:00-04:00,asset,es,bear,3363.25,3319.5,3377.75,10876.25,3254.75,TARGET,43.75,14.5,3.02,False,2020-08-09 22:00:00-04:00
2020-08-20 06:00:00-04:00,2020-08-20 14:00:00-04:00,base,nq,bear,11310.75,11438.0,11438.0,10845.5,3319.5,SL,-127.25,127.25,-1.0,False,2020-08-17 06:00:00-04:00
2020-10-05 02:00:00-04:00,2020-10-05 06:00:00-04:00,asset,nq,bear,11335.5,11365.75,11365.75,11140.25,3287.5,SL,-30.25,30.25,-1.0,False,2020-10-04 18:00:00-04:00
2020-10-08 06:00:00-04:00,2020-10-08 10:00:00-04:00,asset,es,bear,3418.75,3433.0,3433.0,11140.25,3287.5,SL,-14.25,14.25,-1.0,False,2020-10-04 18:00:00-04:00
2020-12-01 02:00:00-05:00,2020-12-01 06:00:00-05:00,asset,es,bear,3653.5,3660.75,3660.75,11808.25,3545.5,SL,-7.25,7.25,-1.0,False,2020-11-29 18:00:00-05:00
2020-12-02 10:00:00-05:00,2020-12-02 14:00:00-05:00,base,nq,bear,12375.25,12458.0,12458.0,11808.25,3545.5,SL,-82.75,82.75,-1.0,False,2020-11-29 18:00:00-05:00
2021-01-14 02:00:00-05:00,2021-01-14 06:00:00-05:00,asset,nq,bear,12957.0,12990.25,12990.25,12491.25,3652.5,SL,-33.25,33.25,-1.0,False,2021-01-12 10:00:00-05:00
2021-02-04 10:00:00-05:00,2021-02-04 14:00:00-05:00,asset,nq,bear,13436.75,13487.75,13480.25,12727.25,3656.5,TARGET,-51.0,43.5,-1.17,False,2021-02-04 10:00:00-05:00
2021-03-11 10:00:00-05:00,2021-03-11 14:00:00-05:00,asset,nq,bear,12965.25,13013.5,13013.5,12207.25,3720.5,SL,-48.25,48.25,-1.0,False,2021-03-07 18:00:00-05:00
2021-03-22 10:00:00-04:00,2021-03-23 14:00:00-04:00,asset,es,bull,3916.5,3897.5,3897.5,13287.25,3978.5,SL,-19.0,19.0,-1.0,False,2021-03-21 18:00:00-04:00
2021-04-15 02:00:00-04:00,2021-04-15 14:00:00-04:00,base,nq,bear,13833.0,14029.0,14029.0,13304.25,4021.0,SL,-196.0,196.0,-1.0,False,2021-04-12 10:00:00-04:00
2021-05-05 06:00:00-04:00,2021-05-07 06:00:00-04:00,base,nq,bull,13599.75,13818.0,13380.75,14064.0,4211.0,TARGET,218.25,219.0,1.0,False,2021-05-03 14:00:00-04:00
2021-06-08 10:00:00-04:00,2021-06-10 06:00:00-04:00,asset,nq,bear,13839.5,13917.25,13917.25,13462.25,4165.25,SL,-77.75,77.75,-1.0,False,2021-06-06 18:00:00-04:00
2021-07-07 10:00:00-04:00,2021-07-08 02:00:00-04:00,asset,nq,bear,14836.0,14609.0,14883.75,14333.25,4264.25,EXIT_RR,227.0,47.75,4.75,False,2021-07-05 06:00:00-04:00
2021-07-15 10:00:00-04:00,2021-07-16 14:00:00-04:00,asset,nq,bear,14892.5,14656.0,14949.25,14540.5,4279.25,EXIT_RR,236.5,56.75,4.17,False,2021-07-11 18:00:00-04:00
2021-08-02 10:00:00-04:00,2021-08-03 14:00:00-04:00,asset,nq,bear,14976.0,15044.5,15044.5,14774.25,4364.75,SL,-68.5,68.5,-1.0,False,2021-08-02 06:00:00-04:00
2021-08-04 06:00:00-04:00,2021-08-04 10:00:00-04:00,asset,nq,bear,15052.75,15073.75,15073.75,14774.25,4364.75,SL,-21.0,21.0,-1.0,False,2021-08-02 06:00:00-04:00
2021-08-26 06:00:00-04:00,2021-08-27 10:00:00-04:00,base,nq,bear,15328.5,15397.0,15397.0,14710.5,4347.75,SL,-68.5,68.5,-1.0,False,2021-08-22 18:00:00-04:00
2021-10-06 10:00:00-04:00,2021-10-06 18:00:00-04:00,asset,es,bull,4293.0,4378.75,4276.75,15399.25,4472.0,EXIT_RR,85.75,16.25,5.28,False,2021-10-04 10:00:00-04:00
2021-10-21 02:00:00-04:00,2021-10-21 14:00:00-04:00,base,nq,bear,15321.75,15446.5,15446.5,14585.5,4317.25,SL,-124.75,124.75,-1.0,False,2021-10-17 18:00:00-04:00
2021-11-08 10:00:00-05:00,2021-11-10 06:00:00-05:00,asset,nq,bear,16338.0,16041.75,16394.0,15768.5,4586.5,EXIT_RR,296.25,56.0,5.29,False,2021-11-08 06:00:00-05:00
2022-02-10 06:00:00-05:00,2022-02-10 10:00:00-05:00,asset,nq,bear,15000.75,14728.5,15040.0,14353.25,4395.5,EXIT_RR,272.25,39.25,6.94,False,2022-02-09 02:00:00-05:00
2022-07-15 06:00:00-04:00,2022-07-17 18:00:00-04:00,asset,es,bull,3800.5,3881.5,3780.25,12211.0,3922.0,EXIT_RR,81.0,20.25,4.0,True,2022-07-14 06:00:00-04:00
2022-07-28 06:00:00-04:00,2022-07-28 10:00:00-04:00,asset,nq,bear,12528.0,12582.75,12582.75,11857.0,3820.25,SL,-54.75,54.75,-1.0,False,2022-07-27 14:00:00-04:00
2022-10-03 10:00:00-04:00,2022-10-04 06:00:00-04:00,base,nq,bull,11090.5,11619.75,10944.0,11613.5,3751.25,TARGET,529.25,146.5,3.61,False,2022-10-02 18:00:00-04:00
2022-10-12 02:00:00-04:00,2022-10-13 02:00:00-04:00,base,es,bull,3621.5,3584.25,3584.25,11729.75,3820.0,SL,-37.25,37.25,-1.0,False,2022-10-10 10:00:00-04:00
2023-01-26 06:00:00-05:00,2023-01-26 10:00:00-05:00,asset,es,bear,4040.75,4049.25,4049.25,11308.5,3901.75,SL,-8.5,8.5,-1.0,False,2023-01-23 06:00:00-05:00
2023-02-14 10:00:00-05:00,2023-02-17 06:00:00-05:00,asset,es,bear,4152.25,4057.0,4186.5,12243.25,4060.75,TARGET,95.25,34.25,2.78,False,2023-02-13 14:00:00-05:00
2023-03-02 06:00:00-05:00,2023-03-02 14:00:00-05:00,asset,es,bull,3937.25,3995.25,3925.0,12417.75,4089.25,EXIT_RR,58.0,12.25,4.73,False,2023-02-28 14:00:00-05:00
2023-03-23 06:00:00-04:00,2023-03-23 10:00:00-04:00,asset,es,bear,3989.5,4001.25,4001.25,11674.25,3808.75,SL,-11.75,11.75,-1.0,False,2023-03-21 10:00:00-04:00
2023-05-11 10:00:00-04:00,2023-05-11 14:00:00-04:00,base,nq,bear,13385.5,13463.75,13463.75,13001.75,4062.25,SL,-78.25,78.25,-1.0,False,2023-05-10 06:00:00-04:00
2023-05-18 10:00:00-04:00,2023-05-18 14:00:00-04:00,asset,es,bear,4169.75,4183.75,4183.75,13202.75,4111.75,SL,-14.0,14.0,-1.0,False,2023-05-16 06:00:00-04:00
2023-06-22 06:00:00-04:00,2023-06-22 14:00:00-04:00,asset,nq,bull,15020.5,15238.0,14970.0,15475.5,4493.75,EXIT_RR,217.5,50.5,4.31,False,2023-06-22 06:00:00-04:00
2023-08-29 06:00:00-04:00,2023-08-29 10:00:00-04:00,asset,nq,bear,15109.25,15147.25,15147.25,14720.5,4365.25,SL,-38.0,38.0,-1.0,False,2023-08-28 10:00:00-04:00
2023-10-02 10:00:00-04:00,2023-10-03 10:00:00-04:00,asset,nq,bull,14921.25,14826.0,14826.0,15060.75,4383.5,SL,-95.25,95.25,-1.0,False,2023-10-02 10:00:00-04:00
2023-10-05 06:00:00-04:00,2023-10-06 06:00:00-04:00,base,nq,bull,14872.75,14673.75,14673.75,15060.75,4383.5,SL,-199.0,199.0,-1.0,False,2023-10-02 10:00:00-04:00
2023-12-05 10:00:00-05:00,2023-12-08 10:00:00-05:00,asset,nq,bull,15854.75,16113.5,15761.75,16208.5,4607.75,TARGET,258.75,93.0,2.78,False,2023-12-04 10:00:00-05:00
2024-01-17 06:00:00-05:00,2024-01-17 10:00:00-05:00,asset,nq,bull,16871.75,16816.0,16816.0,17057.0,4838.0,SL,-55.75,55.75,-1.0,False,2024-01-16 02:00:00-05:00
2024-02-29 02:00:00-05:00,2024-02-29 06:00:00-05:00,asset,es,bear,5078.75,5085.25,5085.25,17372.75,4959.0,SL,-6.5,6.5,-1.0,False,2024-02-27 06:00:00-05:00
2024-03-14 06:00:00-04:00,2024-03-15 10:00:00-04:00,base,nq,bear,18417.25,18006.25,18506.75,17832.5,5063.0,EXIT_RR,411.0,89.5,4.59,False,2024-03-11 18:00:00-04:00
2024-04-01 02:00:00-04:00,2024-04-01 06:00:00-04:00,asset,nq,bear,18572.5,18478.0,18592.75,18378.5,5263.0,EXIT_RR,94.5,20.25,4.67,False,2024-03-31 18:00:00-04:00
2024-04-01 10:00:00-04:00,2024-04-02 06:00:00-04:00,asset,es,bear,5314.0,5238.5,5329.5,18378.5,5263.0,EXIT_RR,75.5,15.5,4.87,False,2024-03-31 18:00:00-04:00
2024-04-26 06:00:00-04:00,2024-04-26 10:00:00-04:00,asset,es,bear,5117.25,5129.75,5129.75,17113.25,4963.5,SL,-12.5,12.5,-1.0,False,2024-04-22 10:00:00-04:00
2024-05-14 02:00:00-04:00,2024-05-14 14:00:00-04:00,base,es,bear,5245.25,5264.0,5264.0,17983.75,5155.75,SL,-18.75,18.75,-1.0,False,2024-05-13 06:00:00-04:00
2024-06-03 06:00:00-04:00,2024-06-03 10:00:00-04:00,asset,es,bear,5302.75,5246.75,5313.25,18241.25,5205.5,EXIT_RR,56.0,10.5,5.33,False,2024-06-03 02:00:00-04:00
2024-06-06 10:00:00-04:00,2024-06-07 06:00:00-04:00,base,nq,bear,19033.75,19124.5,19124.5,18241.25,5205.5,SL,-90.75,90.75,-1.0,False,2024-06-03 02:00:00-04:00
2024-06-20 10:00:00-04:00,2024-06-24 14:00:00-04:00,asset,es,bear,5571.25,5510.25,5584.5,18974.25,5334.5,EXIT_RR,61.0,13.25,4.6,True,2024-06-16 18:00:00-04:00
2024-07-01 10:00:00-04:00,2024-07-01 14:00:00-04:00,asset,es,bull,5528.25,5521.0,5521.0,20273.25,5585.0,SL,-7.25,7.25,-1.0,False,2024-07-01 10:00:00-04:00
2024-07-10 02:00:00-04:00,2024-07-10 06:00:00-04:00,base,nq,bear,20697.0,20771.75,20771.75,19811.75,5502.75,SL,-74.75,74.75,-1.0,False,2024-07-08 06:00:00-04:00
2024-07-16 02:00:00-04:00,2024-07-17 02:00:00-04:00,base,nq,bear,20640.25,20308.25,20797.0,20335.0,5610.75,TARGET,332.0,156.75,2.12,False,2024-07-15 02:00:00-04:00
2024-09-26 10:00:00-04:00,2024-10-01 06:00:00-04:00,asset,nq,bear,20428.0,19978.5,20538.0,19299.25,5609.25,EXIT_RR,449.5,110.0,4.09,True,2024-09-24 02:00:00-04:00
2024-10-30 10:00:00-04:00,2024-10-31 02:00:00-04:00,asset,nq,bear,20631.75,20287.0,20754.5,20079.0,5801.0,TARGET,344.75,122.75,2.81,False,2024-10-29 14:00:00-04:00
2025-02-03 02:00:00-05:00,2025-02-03 10:00:00-05:00,asset,nq,bull,21068.0,21474.5,20981.0,21966.0,6147.75,EXIT_RR,406.5,87.0,4.67,False,2025-02-02 18:00:00-05:00
2025-02-04 10:00:00-05:00,2025-02-07 06:00:00-05:00,base,nq,bull,21561.0,21968.0,21312.5,21966.0,6147.75,TARGET,407.0,248.5,1.64,False,2025-02-02 18:00:00-05:00
2025-07-10 10:00:00-04:00,2025-07-14 06:00:00-04:00,asset,nq,bear,22960.75,22960.75,23090.0,22582.0,6223.25,SL,0.0,129.25,0.0,True,2025-07-09 10:00:00-04:00
2025-07-15 10:00:00-04:00,2025-07-16 10:00:00-04:00,base,es,bear,6319.0,6241.0,6335.25,22779.75,6246.25,EXIT_RR,78.0,16.25,4.8,False,2025-07-14 22:00:00-04:00
2025-07-31 06:00:00-04:00,2025-07-31 10:00:00-04:00,asset,nq,bear,23783.5,23365.0,23845.0,23108.0,6318.75,EXIT_RR,418.5,61.5,6.8,False,2025-07-27 18:00:00-04:00
2025-08-12 02:00:00-04:00,2025-08-12 06:00:00-04:00,asset,es,bear,6401.0,6409.75,6409.75,22821.75,6251.25,SL,-8.75,8.75,-1.0,False,2025-08-10 18:00:00-04:00
2025-09-11 02:00:00-04:00,2025-09-11 10:00:00-04:00,base,nq,bear,23885.0,24044.25,24044.25,23025.25,6371.75,SL,-159.25,159.25,-1.0,False,2025-09-09 14:00:00-04:00
2025-10-10 06:00:00-04:00,2025-10-10 10:00:00-04:00,base,nq,bear,25255.5,24604.0,25367.75,24633.25,6680.0,EXIT_RR,651.5,112.25,5.8,False,2025-10-06 06:00:00-04:00
2025-12-18 02:00:00-05:00,2025-12-18 06:00:00-05:00,asset,nq,bull,24984.0,25329.5,24902.25,25870.75,6928.75,EXIT_RR,345.5,81.75,4.23,False,2025-12-15 10:00:00-05:00
2025-12-31 10:00:00-05:00,2025-12-31 14:00:00-05:00,asset,nq,bull,25606.25,25581.5,25581.5,25935.25,6994.0,SL,-24.75,24.75,-1.0,False,2025-12-29 06:00:00-05:00
2026-01-29 06:00:00-05:00,2026-01-29 10:00:00-05:00,asset,nq,bear,26191.75,25536.0,26280.5,25025.0,6814.5,EXIT_RR,655.75,88.75,7.39,False,2026-01-26 06:00:00-05:00
2026-02-26 10:00:00-05:00,2026-03-01 22:00:00-05:00,asset,nq,bear,25193.5,24528.0,25415.25,24449.25,6791.0,TARGET,665.5,221.75,3.0,True,2026-02-25 10:00:00-05:00
2026-03-19 06:00:00-04:00,2026-03-19 10:00:00-04:00,asset,nq,bull,24627.75,24500.0,24500.0,25217.5,6852.0,SL,-127.75,127.75,-1.0,False,2026-03-19 02:00:00-04:00
